id,address,latitude,longitude
1,"123 Main St, Downtown",55.7558,37.6173
2,"456 Oak Ave, West Side",55.7517,37.6178
3,"789 Pine Rd, East End",55.7547,37.6163
4,"321 Elm St, North District",55.7538,37.6168
5,"654 Maple Dr, South Area",55.7528,37.6183
6,"987 Cedar Ln, Central",55.7568,37.6153
7,"147 Birch Rd, Heights",55.7578,37.6143
8,"258 Spruce Ave, Valley",55.7588,37.6133
9,"369 Ash St, Plaza",55.7598,37.6123
10,"741 Willow Dr, Park",55.7508,37.6193
11,"852 Cherry Ln, Square",55.7518,37.6113
12,"963 Poplar Rd, Gardens",55.7528,37.6103
13,"159 Cypress Ave, Hills",55.7538,37.6093
14,"357 Magnolia St, Lake",55.7548,37.6083
15,"486 Juniper Dr, Ridge",55.7558,37.6073
16,"792 Sycamore Ln, View",55.7568,37.6063
17,"148 Acacia Rd, Summit",55.7578,37.6053
18,"259 Palm Ave, Harbor",55.7588,37.6043
19,"367 Redwood St, Beach",55.7598,37.6033
20,"481 Sequoia Dr, Forest",55.7508,37.6023
