id,name,parent_id,level
1,Retail,null,1
2,Food & Beverages,null,1
3,Healthcare,null,1
4,Technology,null,1
5,Electronics,1,2
6,Clothing,1,2
7,Groceries,2,2
8,Restaurants,2,2
9,Medical Services,3,2
10,Pharmaceuticals,3,2
11,Software Development,4,2
12,IT Services,4,2
13,Mobile Phones,5,3
14,Computers,5,3
15,Men's Clothing,6,3
16,Women's Clothing,6,3
17,Fresh Produce,7,3
18,Bakery,7,3
19,Fast Food,8,3
20,Fine Dining,8,3
21,General Practice,9,3
22,Dentistry,9,3
23,Prescription Drugs,10,3
24,Medical Equipment,10,3
25,Web Development,11,3 
